id,severity,blocker,category,finding,evidence,impact,action,gate,resolution_status,release_disposition,resolution_evidence,residual_action
PR-011,Medium,No,Bootstrap design,The cluster bootstrap samples 16 model-condition units without stratifying by model.,"A model-stratified cluster bootstrap gives a similar but conceptually cleaner PC1 CI [0.861,0.934] versus the released [0.857,0.938].",The reported interval can fluctuate in model composition and should not be interpreted as a balanced four-model uncertainty interval.,Use model-stratified cluster resampling or explicitly label the current interval as an unstratified design sensitivity.,"Bootstrap unit, target population, and stratification are explicit.",closed,Canonical interval is model-stratified over designed condition clusters and labeled a sensitivity interval.,analysis/analyze_metric_robustness.py; docs/ANALYSIS_METHODS.md; data/public_analysis_inputs.zip,None for v1.0.0.
PR-012,Medium,No,Documentation,PUBLIC_FIGURE_STORY.md advertises supplemental random-matrix figure files that are absent from the repository.,"It names figures/public/supplemental/figure_reference_01_distance_n20.* and figure_spectrum_04_endpoint_scorecard_n20.*, but the directory is absent.",Broken provenance expectations and misleading navigation.,Remove the section or include the files and registry entries.,All documented public files exist.,closed,Absent supplemental figure claims removed.,docs/PUBLIC_FIGURE_STORY.md,None for v1.0.0.
PR-013,Medium,No,Documentation,data/README.md says the three data objects are checksum-tracked after the checksum records were intentionally deleted.,The opening sentence retains checksum-tracked wording.,Small but direct factual inconsistency.,Replace with version-controlled or bundled data objects.,No stale checksum language.,closed,Stale checksum-tracked wording removed.,data/README.md,None for v1.0.0.
PR-014,Medium,No,Correction record,CORRECTIONS.md has duplicated and nonexistent machine-record claims and future-tense wording.,It lists paper_correction_ledger.csv twice and says equation/figure dispositions are available in CSV and JSON although those compact files are absent; it says What the repository will say.,Weakens the authority of the correction layer.,Correct the machine-readable record paragraph and use present tense.,Every linked/claimed correction artifact exists and is unique.,closed,Correction record now points only to existing unique artifacts and uses present tense.,CORRECTIONS.md; metadata/paper_correction_ledger.csv; analysis/verify_paper_corrections.py,None for v1.0.0.
PR-015,Medium,No,Data schema,Saved NPZ spectra are stored in ascending eigvalsh order although the canonical Schmidt-spectrum convention is descending.,All 405 spectra are valid but raw arrays are ascending; current metric code silently normalizes/sorts them on read.,External users can misread lambda_1 and leading-edge diagnostics if they inspect the archive directly.,Repackage spectra in canonical descending order or document an explicit archive-order field and loader requirement.,Archive schema and actual ordering agree.,closed,Selected spectra are repacked in descending order with explicit schema metadata.,data/spectra_selected_n20.zip; tests/test_repository.py,None for v1.0.0.
PR-016,Medium,No,Geometric descriptors,Some coarse descriptor language overstates what is measured.,Arc length includes the common lambda_max coordinate; signed polygonal area does not close the last-to-first segment. Vertical-only total-variation rank correlations are lower than full-path arc-length correlations.,Fine/coarse geometry can appear more metric-robust because of the shared x coordinate or ambiguous area convention.,Report x-only/y-only/full descriptors separately and rename the area to the actual open-path line-integral/origin-closed convention.,Descriptor formulas and interpretation match exactly.,closed,"Descriptors now distinguish full-path arc length, vertical total variation, origin-closed area, and exact turns.",analysis/analyze_metric_robustness.py; docs/ANALYSIS_METHODS.md; figures/public/figure_03_metric_robustness_hierarchy.png,None for v1.0.0.
PR-017,Low,No,CI architecture,The general scientific validator still contains browser-upload packaging limits.,"It fails above 100 files or 25 MiB, constraints unrelated to scientific correctness after the repository is established.",Legitimate future documentation/tests can break CI for non-scientific reasons.,Move packaging-size checks to a separate release-packaging command.,Scientific CI and packaging CI are independent.,closed,Browser-upload size limits removed from scientific validation.,analysis/validate_public_repository.py,Packaging constraints may be handled separately if needed.
PR-018,Medium,No,Numerical tolerance,Pure-state logarithmic negativity is materially more sensitive to tiny numerical tails than other stored metrics.,Reconstruction of 405 spectra agrees to 1.71e-7 for log negativity versus about 1e-13 for VN/linear and 1e-14 for leading-eigenvalue metrics.,Uniform precision language would be misleading.,Declare metric-specific tolerances and preserve raw eigenvalue-cleaning conventions.,QA tables report per-metric tolerances.,closed,Metric-specific numerical tolerances and tail sensitivity are documented and tested.,tests/test_repository.py; docs/REPRODUCIBILITY.md; docs/RELEASE_QA.md,None for v1.0.0.
PR-019,Low,No,GitHub metadata,"The repository description is set, but the DOI homepage and topics remain unset and GitHub labels the mixed license file as Other.","Current repository API reports empty homepage, topics=[], license=Other.",Reduced discoverability and ambiguous sidebar presentation.,Set DOI homepage and topics; optionally split the standard BSD text into LICENSE and the CC-BY notice into LICENSE-CONTENT.md.,Repository API exposes homepage/topics and a clear license presentation.,partially_closed_external_settings_pending,Standard BSD code license and separate CC-BY content notice are present; GitHub description is set.,LICENSE; LICENSE-CONTENT.md; CITATION.cff; codemeta.json,"Set DOI homepage, topics, and social preview in GitHub before tagging. GitHub license sidebar behavior should be checked visually."
PR-020,High,No,Publication ethics / correction,The objective errors in the published paper are material enough that a repository clarification alone does not amend the version of record.,"The correction ledger includes the exact entropy boundary, Page formula, rank-one spike, QFT invariance, Wishart scaling, and other factual corrections.",Readers using only the journal article can continue to encounter incorrect statements.,"After freezing the corrected release, submit a concise factual corrigendum to Quantum.",Journal correspondence initiated; repository accurately states its status.,open_post_release_nonblocking,Repository correction layer is frozen and explicitly does not amend the journal version of record.,CORRECTIONS.md; paper/AUTHOR_CLARIFICATION_2026.md; metadata/paper_correction_ledger.csv,Submit a concise factual corrigendum to Quantum after v1.0.0 is frozen.
PR-021,Medium,No,Spectrum-level coverage,Only five selected n=20 runs have complete spectra and the selection omits some important families/conditions.,"Archive contains KI_3, KI_4, QCA_2, XXZ_2, and XXZ_4; no baker spectrum and no non-Clifford QCA spectrum.","The 400-transition majorization audit is a selected-case mechanism check, not a model-wide frequency estimate.",Keep that limitation prominent or expand the spectrum sample.,No model-wide majorization-frequency claim from the selected archive.,closed_by_scope,"Selected-spectrum audit is explicitly described as a five-run mechanism check, not a model-wide frequency estimate.",docs/LIMITATIONS.md; docs/ANALYSIS_METHODS.md; metadata/public_claims.json PUB-LIM-SPECTRA-001,Expand spectra to omitted families only for a future model-wide frequency claim.
