correction_id,severity,section,article_page,pdf_lines,equations_or_figures,topic,published_position,audit_finding,corrected_statement,scientific_consequence,recommended_action,related_claim_ids,verification_files,primary_support,confidence
PC-011,medium,Figure 1 caption,3,L100-L107,Fig. 1,Numerical lower-bound example,The printed example at p=0.4 repeats a coefficient 0.4 on the final log(0.2) term.,"The concentrated spectrum is (0.4,0.4,0.2), so the final coefficient is 0.2.",Correct the caption arithmetic.,Prevents a direct normalization error in the illustrative example.,formal corrigendum,ET-COR-001,outputs/paper_corrections/exact_boundary_comparison.csv,Direct calculation,high
PC-012,critical,Section 2,2,L76-L83,,Continuity of quantum evolution,The text says transitions between quantum states are not continuous and that a continuous path would be classical.,"Unitary dynamics generated by a Hamiltonian is continuous. A circuit diagram may sample states only after gates, and a plotted interpolation between checkpoints is not uniquely specified, but this has no classical-versus-quantum implication.",Replace with a sampling caveat: connecting lines indicate temporal order and do not reconstruct the unsampled physical evolution.,Corrects a basic physical statement without changing the plotting convention.,formal corrigendum,ET-COR-005,,Standard unitary dynamics,high
PC-013,high,Section 2,2,L84-L87,,Algorithm fingerprints,The selected trajectories are called unique fingerprints of the algorithms.,"The figures are exploratory and do not establish uniqueness, robustness to nuisance parameters, or held-out classification.",Use 'candidate trajectory descriptors' for the 2024 evidence. The follow-up package supports metric-robust morphology but full fingerprint validation remains open.,Retains the visual observation while separating it from an identification theorem.,repository clarification,ET-COR-011;ET-HYP-001,../metadata/preliminary_metric_robustness_n20.json,Follow-up package,high
PC-014,high,Section 2.1,3,L122-L132,Fig. 2,Entropy peak and classical hardness,A linear entropy peak/phase transition is used to conclude that a classical computer cannot efficiently simulate the adiabatic evolution.,"Large bipartite entropy can obstruct a low-bond-dimension MPS description for that ordering, but does not prove hardness for every classical simulation method.",Restrict the conclusion to the observed cut and to tensor-network methods whose cost is controlled by the relevant Schmidt spectrum.,Removes an overbroad complexity inference.,formal corrigendum wording,ET-COR-007,,Schuch et al. 2008,high
PC-015,medium,Section 2.1,4,L143-L146,Fig. 2,Partition-independent path,Three instances and three random half cuts are said to almost follow the same path.,This is a limited empirical observation without uncertainty estimates or a sampling protocol for partitions.,Retain as a finite-sample observation and report the exact cuts and distances in the upgraded repository.,Avoids interpreting a small visual sample as an invariant.,repository clarification,ET-COR-011,,Published simulation only,high
PC-016,medium,Section 2.2,4,L154-L157,,Logarithm-base consistency in Grover entropy bound,An entropy bound of 1 is quoted while the paper declares natural logarithms.,One bit equals log(2) nats. The bound must be converted or its logarithm base stated locally.,Write 'at most one bit (log 2 nats)' where applicable.,Restores unit consistency.,formal corrigendum,ET-COR-020,outputs/paper_corrections/paper_verification_results.json,Direct unit conversion,high
PC-017,high,Section 2.2,4-5,L165-L188,Figs. 3-5,High entanglement and classical unsimulability,High intermediate entanglement is treated as sufficient to rule out efficient classical simulation for the Grover examples.,No such general implication follows from a scalar entropy value or one selected cut.,Describe the measured entanglement without elevating it to a proof of general classical hardness.,Separates trajectory diagnostics from computational-complexity certification.,formal corrigendum wording,ET-COR-007;ET-COR-009,,Schuch et al. 2008,high
PC-018,high,Section 2.2,4,L154-L157,,Causal source of Grover speedup,The speedup is attributed to entanglement appearing inside the oracle because the post-step register entropy is bounded.,The cited entropy observation does not establish a unique causal mechanism for the quadratic query advantage.,"Present intermediate entanglement as a circuit diagnostic, not as the proven source of the speedup.",Prevents an unsupported causal interpretation.,repository clarification,ET-COR-009,,Grover query-complexity result,high
PC-019,medium,Section 2.2,5,L184-L200,Fig. 5,Similarity of two Grover implementations,Two small collections of trajectories are described as sharing a common path.,"The visual similarity is real for the displayed instances but has no quantified tolerance, null model, or out-of-sample test.",Retain the figure as an illustrative comparison and label broader similarity as a hypothesis.,Keeps the descriptive result without claiming universality.,repository clarification,ET-COR-011,,Published simulation only,high
PC-020,medium,Section 2.3,7,L242-L248,Fig. 6,One-qubit entropy upper bound,The one-qubit entanglement is said to be upper bounded by 1 despite the natural-log convention.,"The maximum is log(2) nats, or 1 bit.",Correct the unit explicitly.,A direct numerical-unit correction.,formal corrigendum,ET-COR-020,outputs/paper_corrections/paper_verification_results.json,Direct entropy maximum,high
PC-021,low,Section 2.3,7,L242-L245,,Historical superlative,The Beauregard construction is called the most up-to-date qubit-minimizing Shor circuit.,This is time-dependent and unnecessary to the result.,Call it the 2n+3-qubit Beauregard construction used in the simulations.,Makes the repository stable and AI-readable.,repository clarification,,,Beauregard 2003,high
PC-022,critical,Section 2.3,7,L270-L284,Fig. 8,Normalization of the stated post-SWAP spectrum,The text gives one eigenvalue 1/2 and 2^m further eigenvalues 1/2^m.,"Those values sum to 3/2. The normalized pattern consistent with the stated spacing is one eigenvalue 1/2 and 2^m eigenvalues 1/2^(m+1), if that is the intended spectrum.",Correct the denominator after checking the raw circuit spectra and regenerate the explanatory sentence.,Fixes a direct spectral normalization error.,formal corrigendum + code/data verification,ET-COR-019,outputs/paper_corrections/shor_spectrum_normalization.csv,Direct normalization check,high
PC-023,high,Section 3 opening,8-9,L285-L324,,From Haar typicality to physical-system typicality,"Because most states are Haar-typical, physical-system entanglement is expected to concentrate near random-density-matrix behavior.","Locality, conservation laws, integrability, symmetries, finite time, and initial-state structure can prevent Haar/Wishart behavior. The follow-up data themselves contain models that remain far from the reference.",State a conditional question: whether a specified dynamics approaches a declared Haar/Wishart reference must be tested.,Turns RMT from a universal premise into a diagnostic.,formal corrigendum wording,ET-CON-001;ET-CON-004;ET-COR-006,,Zyczkowski-Sommers 2001; Nechita 2007,high
PC-024,medium,Section 3.1,9,L334-L343,Eq. (6),Empirical spectral distribution notation,delta_lambda is defined as an indicator function while Eq. (6) is written as a measure.,The ESD measure is alpha^{-1} sum_i delta_{lambda_i} with Dirac point masses; its cumulative distribution is alpha^{-1} sum_i 1_{lambda_i<=x}.,Separate the measure and its CDF definitions.,Repairs a standard random-matrix definition.,formal corrigendum,ET-COR-015,,Marchenko-Pastur literature,high
PC-025,medium,Section 3.1 / Figure 9,9-10,L344-L420,Fig. 9; Eqs. (7)-(9),Real versus complex ensemble,"The theorem is stated for complex Gaussian matrices, while the figure description and public scripts use real normal samples by default.","The leading Marchenko-Pastur density is shared, but finite-size edge fluctuations and symmetry class differ.",State the ensemble in every figure and separate leading-density agreement from real/complex edge statistics.,Prevents a hidden ensemble mismatch.,repository clarification + code repair,ET-CON-002,,Marchenko-Pastur theorem,high
PC-026,critical,Section 3.2,11,L479-L487,Eqs. (16)-(18),Scaling of the noise spectral edge,The unscaled matrix X_tilde X_tilde^dagger is assigned the normalized Marchenko-Pastur edge lambda_+.,lambda_+ is the edge for beta^{-1} X_tilde X_tilde^dagger. The corresponding unscaled edge is beta lambda_+.,Restore the missing factor beta and express the separation condition in one consistent scaling convention.,Changes the quantitative spike-dominance condition.,formal corrigendum,ET-COR-016,outputs/paper_corrections/rank_one_mean_matrix.json,Marchenko-Pastur scaling,high
PC-027,critical,Section 3.2,11,L488-L493,,Eigenvalues of the deterministic mean component,HH^dagger is said to have all alpha eigenvalues equal to alpha beta |gamma|^2.,HH^dagger=beta|gamma|^2 J_alpha is rank one. It has one eigenvalue alpha beta |gamma|^2 and alpha-1 zero eigenvalues.,Replace the sentence and keep only the single nonzero eigenvalue.,This is an explicit linear-algebra correction; the intended dominant scale can still survive in a separated-spike regime.,formal corrigendum,ET-COR-003,outputs/paper_corrections/rank_one_mean_matrix.json,Direct eigendecomposition,high
PC-028,critical,Section 3.2,11,L494-L506,Fig. 10,Equality lambda_max=alpha|gamma|^2,The observed largest eigenvalue is set exactly equal to alpha|gamma|^2.,"Noise and cross terms shift the largest eigenvalue. The deterministic value is a strong-signal asymptotic scale, with a separation threshold and finite-size fluctuations.",Use an approximation sign and state a norm-ratio or separated-spike assumption.,Prevents the reference model from being read as an exact theorem.,formal corrigendum,ET-CON-003;ET-COR-003,outputs/paper_corrections/rank_one_mean_matrix.json,BBP 2005; noncentral Wishart literature,high
PC-029,high,Section 3.2,11,L500-L506,,Status of the residual Marchenko-Pastur bulk,All remaining eigenvalues are said to follow the Marchenko-Pastur distribution.,"A finite-rank perturbation preserves the limiting empirical bulk under appropriate asymptotics, but individual finite-size eigenvalues, the upper edge, and normalization-conditioned spectra fluctuate.",Say that the residual empirical spectral distribution is asymptotically MP under declared assumptions.,Separates a limiting density statement from a pointwise finite-size claim.,formal corrigendum wording,ET-CON-003;ET-CON-004,,BBP 2005; Nechita 2007,high
PC-030,high,Figure 10 caption,12,L554-L570,Fig. 10,Dismissal of the spike transition,The near-zero-mean transition is described as numerically negligible and omitted.,The separation transition is exactly what determines whether a dominant outlier exists. It is not optional when the dominant-spike picture is generalized.,Label Figure 10 as a strong-signal illustration and state that the weak-signal regime requires separate treatment.,Narrows the domain of the spiked interpretation.,repository clarification,ET-CON-003,,BBP 2005,high
PC-031,critical,Section 4.1,11,L511-L523,Theorem 2; Eq. (23),Exact Page formula,log(alpha)-alpha/(2 beta) is stated as the exact average for every 1<=alpha<=beta.,For the complex Haar ensemble the exact mean is H_{alpha beta}-H_beta-(alpha-1)/(2 beta). The published expression is the leading large-size approximation and is even negative for alpha=1.,Replace Theorem 2 by the harmonic-number formula and label Eq. (23) asymptotic.,Corrects a theorem-level statement.,formal corrigendum,ET-COR-002,outputs/paper_corrections/page_formula_comparison.csv,Page 1993; Sanchez-Ruiz 1995; Sen 1996,high
PC-032,critical,Section 4.1,13,L571-L598,,Elimination of the random trace,The normalized Wishart matrix ZZ^dagger/Tr(ZZ^dagger) is replaced pointwise by beta^{-1}XX^dagger with coefficients claimed to form an exactly normalized state.,"The trace is random. Replacing it by its concentration scale is an asymptotic step, not an identity, and independent Gaussian coefficients are not exactly normalized sample by sample.",Mark the trace replacement as a large-dimension approximation or work directly with the fixed-trace Wishart ensemble.,Explains why the MP integral recovers only the leading Page asymptotic.,formal corrigendum,ET-COR-026,outputs/paper_corrections/page_formula_comparison.csv,Zyczkowski-Sommers 2001; Page 1993,high
PC-033,high,Section 4.2,13-14,L653-L700,Eqs. (25)-(29),Normalization of the nonzero-mean ensemble,alpha(gamma^2+sigma^2)=1 is treated as equivalent to exact state normalization and trace one.,"It fixes an expected squared norm under a chosen parameterization. Individual Gaussian samples still fluctuate and are later explicitly normalized in the code, which changes the finite-sample law.",Call Eq. (28) an expectation-level normalization convention and distinguish it from sample-wise trace normalization.,Clarifies the ensemble whose conditional curve is being computed.,formal corrigendum wording,ET-COR-017,,Direct expectation calculation,high
PC-034,critical,Section 4.2,14,L701-L735,Eqs. (30)-(33); Fig. 11,Meaning of Eq. (32),Eq. (32) is called the average entropy for a given observed lambda_max.,"The derivation fixes a nominal mean/spike parameter, replaces random normalization by its expectation, inserts an asymptotic MP bulk, and identifies the observed largest eigenvalue with the nominal spike. It is not the exact conditional expectation at fixed observed lambda_max.",Rename Eq. (32) the large-size noncentral/spiked-Wishart reference curve under a separated-spike approximation.,Preserves the useful curve while preventing a false exact interpretation.,formal corrigendum,ET-CON-003;ET-COR-018,outputs/paper_corrections/spiked_reference_vs_exact_boundary.csv,BBP 2005; direct audit,high
PC-035,high,Section 4.2,14,L730-L735,Eq. (33),Large-beta limit versus exact finite-dimensional maximum,The beta-to-infinity limit is identified with the upper entropy boundary f3.,"It approaches h(p)+(1-p)log(alpha), whereas the exact finite-alpha maximum is h(p)+(1-p)log(alpha-1). The reference can therefore sit slightly above the exact feasible maximum.",State the additional alpha-to-infinity approximation and never use Eq. (33) as an exact finite-dimensional boundary.,Resolves an internal inconsistency between the reference curve and spectrum feasibility.,formal corrigendum,ET-COR-025;ET-COR-001,outputs/paper_corrections/spiked_reference_vs_exact_boundary.csv,Direct comparison,high
PC-036,high,Section 4.2-4.3,14-15,L736-L750,Figs. 12-15,Flexible boundary terminology,The spiked-Wishart mean curve is described as a barrier protected by randomness and as an upper boundary respected by physical systems.,An ensemble mean or typical locus is not a one-sided bound. States and other ensembles can occur on either side; the paper itself notes counterexamples.,Rename it a reference curve or reference band and report signed distance rather than boundary compliance.,Makes the RMT claim testable and compatible with the follow-up data.,formal corrigendum wording + figure relabeling,ET-COR-006;ET-CON-004,,Direct statistical interpretation,high
PC-037,high,Section 4.3,14,L742-L750,,Above-average entanglement and computational usefulness,States above the random reference are suggested not to help computation.,"No computational theorem follows from position relative to this ensemble curve, and counterexamples are acknowledged.",Remove the computational-value interpretation; retain only an empirical location relative to the reference.,Separates descriptive spectral statistics from algorithmic advantage.,formal corrigendum wording,ET-COR-009,,No supporting theorem,high
PC-038,high,Section 4.3,17,L817-L844,Eq. (34); Fig. 15,Shor classical-simulation conclusion,An entropy estimate for one partition is used to conclude that the semiclassical Shor circuit cannot be efficiently simulated classically.,"The estimate may obstruct a specified MPS representation, but it does not rule out all classical methods or prove circuit-level hardness.","Restrict the statement to the resources required by tensor-network methods controlled by that cut, if such a bound is established.",Removes an unsupported complexity conclusion.,formal corrigendum wording,ET-COR-007;ET-COR-009,,Schuch et al. 2008,high
PC-039,critical,Section 4.4,18,L937-L992,Eq. (43); Fig. 16,Entanglement of the union endpoint U_{n-1},The uniform state over all basis vectors except |0> and |1> is said to have zero entanglement at the natural equal cut.,"Its coefficient matrix has rank two. The two nonzero Schmidt eigenvalues are (1±sqrt(1-8(d-1)(d-2)/(d^2-2)^2))/2 with d=2^(n/2), so the entropy is positive for every finite even n.",State that U_{n-1} approaches the product point asymptotically but is not exactly product. Keep the zero-entanglement statement only for P_{n-1}.,Corrects the endpoint and the claimed joining of the two arithmetic trajectories.,formal corrigendum + figure correction,ET-COR-021,outputs/paper_corrections/prime_union_endpoint.csv,Direct Schmidt decomposition,high
PC-040,high,Figure 16,19,L986-L994,Fig. 16,Visual support for the arithmetic endpoint and QFT overlap,"The figure is said to support an exact endpoint at (1,0) and near-complete QFT overlap.","At n=26 the U endpoint entropy is about 5.46e-7 nats, visually indistinguishable from zero at the plotted scale but not zero. QFT overlap remains an empirical property of the selected states.",Regenerate with an endpoint inset/residual table and label the QFT comparison as numerical.,Distinguishes numerical resolution from exact equality.,repository clarification + code repair,ET-COR-021;ET-COR-004,outputs/paper_corrections/prime_union_endpoint.csv,Direct calculation,high
PC-041,critical,Section 5.1,19,L1001-L1017,Eq. (44),Computational-basis amplitude versus Schmidt eigenvalue,The Fourier coefficient |Q0|^2 is identified with the dominant eigenvalue of a reduced density matrix.,A basis amplitude of the full state is not generally a Schmidt eigenvalue across a bipartition. The identification requires a special structural argument that is absent and false in general.,Remove this identification and formulate any observed relation as an ensemble-specific numerical correlation.,Breaks the purported analytic proof of QFT invariance.,formal corrigendum,ET-COR-022;ET-COR-004,outputs/paper_corrections/qft_counterexample.json,Direct counterexample,high
PC-042,critical,Section 5.1,20,L1028-L1073,Figs. 16-17; Eq. (45),Exact QFT preservation of entropy and lambda_max,The paper concludes that a global QFT leaves the dominant Schmidt value and entropy exactly unchanged.,"A global QFT is not local with respect to a generic cut and can change the Schmidt spectrum. For |0>|+>, the entropy changes from 0 to about 0.41650 nats and the spectrum becomes approximately (0.85355,0.14645).",Replace the exact claim by: the selected nonzero-mean random ensemble and arithmetic examples show approximate state-family-specific overlap under the tested Fourier transform.,The exact feasible boundary remains valid after QFT simply because it applies to every valid spectrum.,formal corrigendum,ET-COR-004,outputs/paper_corrections/qft_counterexample.json,Direct calculation; Chen-Stoudenmire-White 2023,high
PC-043,medium,Section 5.2,20,L1075-L1094,Eqs. (46)-(47),Entanglement Hamiltonian for rank-deficient states,rho_A=e^{-H_A} is used without a support qualification.,"For zero eigenvalues, -log rho_A has infinite levels. The definition is exact on the support, or with an extended-valued entanglement Hamiltonian.",Add the full-rank/support convention.,Prevents hidden infinities in the gap discussion.,repository clarification,ET-COR-023,,Spectral calculus,high
PC-044,high,Section 5.2,21,L1095-L1106,Eqs. (48)-(50),Exact fixed-lambda_max gap envelope,"The gap boundary uses g1, g2, and an upper curve with alpha rather than alpha-1.","The exact minimum is max(0,log[p/(1-p)]); the exact maximum is log[p(alpha-1)/(1-p)]. The published g3 exceeds the exact maximum by log[alpha/(alpha-1)].",Replace the gap envelope by the exact piecewise formulas.,Extends the exact-boundary correction consistently to the entanglement gap.,formal corrigendum,ET-COR-012,outputs/paper_corrections/exact_gap_boundary.csv,Direct spectrum optimization,high
PC-045,high,Section 5.2,21,L1107-L1135,Eqs. (51)-(52); Fig. 18,Using the MP edge as the second Schmidt value,The asymptotic MP upper edge is substituted directly for lambda_1 and the resulting gap is treated as the trajectory value.,"This is a typical-edge approximation requiring a separated spike, large dimensions, and a stated symmetry class. The finite-size second eigenvalue fluctuates.",Label Eq. (51) a model-specific asymptotic gap reference and report uncertainty in numerical comparisons.,Keeps the diagnostic but removes exact-boundary language.,formal corrigendum wording,ET-CON-003;ET-CON-004,,BBP 2005; edge statistics,high
PC-046,critical,Section 5.2,22,L1148-L1154,,Universal entropy-gap monotonicity and Li-Haldane attribution,A general inverse relation between von Neumann entropy and entanglement gap is inferred and attributed to Li and Haldane.,"The relation holds along the one-parameter reference construction, not over all spectra. A=(0.5,0.25,0.25,0) has both larger entropy and larger gap than B=(0.6,0.4,0,0). Li-Haldane proposed low-lying spectrum structure as a fingerprint of topological order, not this universal scalar law.",Restrict monotonicity to the declared reference curve and remove the universal attribution.,Corrects both the mathematical claim and citation use.,formal corrigendum,ET-COR-012,outputs/paper_corrections/entropy_gap_counterexample.json,Li-Haldane 2008; direct counterexample,high
PC-047,high,Section 5.2,22,L1160-L1167,"Figs. 14,15,20",Distance to RMT curve as computational value,Trajectories closer to the RMT curve are said to possess greater value for quantum computation.,"The selected examples do not establish predictive validity, causality, or a computational-resource monotone.",Report distance to a Haar/Wishart reference as a spectral diagnostic only. Treat links to computational performance as an open hypothesis requiring held-out tests.,Prevents an empirical visual ranking from becoming a resource theorem.,formal corrigendum wording,ET-HYP-002;ET-COR-009,,No supporting theorem,high
PC-048,high,Section 5.2,22-23,L1168-L1184,,Meaning of quoted topology,The trajectory is said to preserve a particular topology and reveal invariant physical properties across measures.,"The paper correctly acknowledges projection nonuniqueness and possible counterexamples, but no coarse-graining rule, equivalence relation, or invariant is defined.",Define the present claim as empirical projection-stable morphology over a declared metric atlas. State that formal topology is an open direction.,This is the central conceptual correction and the bridge to the follow-up package.,formal corrigendum wording + repository definition,ET-DEF-005;ET-DEF-006;ET-COR-010,../metadata/preliminary_metric_robustness_n20.json,Follow-up package,high
PC-049,medium,Section 5.2,23,L1175-L1182,,Geometry and terminology of the spectrum domain,"The ordered spectra are called a compact surface, and formal topology is said to require a homomorphism or homotopy.","The domain is an ordered probability simplex, a compact convex polytope with boundary. The relevant topological term would generally be homeomorphism, not homomorphism.",Use 'ordered probability simplex' and 'homeomorphism or homotopy equivalence' only if a formal object is later defined.,Improves mathematical precision and AI retrieval.,repository clarification,ET-COR-024,,Elementary topology/convex geometry,high
PC-050,medium,Section 5.2,22,L1171-L1174,,Claim that the observations are impossible to prove,The text says the simulation-derived properties are impossible to prove mathematically.,"Once the model, metric family, coarse-graining, and equivalence relation are specified, some robustness statements may be provable. The current work simply does not prove them.",Replace 'impossible to prove' with 'not established by the present analysis and false without additional assumptions.',Keeps room for the upgraded research program.,repository clarification,ET-HYP-001,,Logical correction,high
PC-051,critical,Section 5.3,23,L1185-L1213,Eq. (54),Renyi order zero,H_0 is stated to equal log(alpha) and is called max-entropy for every spectrum.,H_0 is log(rank rho_A). It equals log(alpha) only for full-rank spectra. Support changes can create nonsmooth behavior. 'Hartley entropy' or 'log rank' is the unambiguous term here.,Replace the statement and define the zero-eigenvalue convention explicitly.,Corrects both the formula's domain and terminology.,formal corrigendum,ET-COR-014,,Definition of Renyi entropy,high
PC-052,low,Section 5.3,23,L1205-L1211,Eq. (54),Naming of Renyi order two,Order two is described as 'the Renyi entropy or collision entropy.',Every order is a Renyi entropy; q=2 is specifically the collision entropy.,Use 'the order-2 Renyi (collision) entropy.',Terminological cleanup.,repository clarification,,,Standard definition,high
PC-053,high,Section 5.3,23,L1214-L1286,Eqs. (56)-(57); Fig. 21,Status of the Renyi formulas,The formulas obtained from the MP construction are presented as analytical trajectory boundaries/values.,They are model-specific large-size reference expressions under the same spike and normalization approximations as Eq. (32). They are not exact feasible envelopes.,Relabel them as spiked-Wishart Renyi reference curves and derive exact fixed-p extrema separately from majorization.,Aligns all metric variants with the same exact-versus-ensemble hierarchy.,formal corrigendum wording,ET-CON-003;ET-EX-004;ET-EX-005,,Direct audit,high
PC-054,medium,Section 5.3,24,L1299-L1313,Eq. (58); Fig. 22,Continuity and differentiability in Renyi order,Every spectrum is said to define a continuous differentiable path over the full nonnegative order range.,"For a fixed strictly positive spectrum the Renyi entropy is analytic for q>0 with a removable limit at q=1. At q=0, rank/support conventions matter; zeros can produce boundary nonsmoothness.",State the domain and support assumptions and avoid treating the assembled surface as a physical trajectory.,Makes the 3D atlas mathematically well-defined.,formal corrigendum wording,ET-COR-014,,Renyi definition,high
PC-055,high,Conclusion,24,L1314-L1328,,Summary claims,"The conclusion repeats a tight entropy boundary, an RMT flexible boundary, invariant topology, and a connection between boundary proximity and quantum advantage.","Only the trajectory representation survives unchanged. The exact boundary must be replaced, RMT demoted to a reference ensemble, topology qualified as empirical morphology, and computational-value claims left open.","Rewrite the conclusion around the Schmidt-spectrum path, metric atlas, exact feasible geometry, empirical metric robustness, and informative metric contradictions.",Provides the corrected end-to-end story for the upgraded repository.,formal corrigendum wording,ET-DEF-001;ET-DEF-003;ET-EMP-003;ET-COR-001;ET-COR-006;ET-COR-010,,Complete audit,high
PC-056,high,Reproducibility statement,2,L76-L80,All figures,Claim that the public code generates every figure,The article states that the GitHub code generates every figure.,"The current repository lacks required EC input files, contains an unpacking failure in Prime_Almost.py, uses unseeded simulations, and does not pin a complete runnable environment.","Preserve the historical scripts, but replace the reproducibility claim with a versioned manifest and repaired current implementation.","Affects the article's reproducibility claim, not the central mathematical idea.",repository correction + future release,ET-PKG-001;ET-PKG-002;ET-PKG-003,,GitHub audit,high
